lambda,C-index Train,Mean C-index Test,C-index Test sd,IBS@3y,Non-zero coefs,Execution Time (min)
0.1,0.851,0.709,0.021,0.5897,534,0.43
0.2,0.839,0.694,0.027,0.6681,440,0.28
0.3,0.83,0.681,0.029,0.6902,370,0.26
0.4,0.823,0.671,0.029,0.7115,323,0.25
0.5,0.816,0.668,0.03,0.7207,283,0.23
0.6,0.81,0.667,0.029,0.7269,248,0.21
0.7000000000000001,0.806,0.666,0.03,0.7301,206,0.2
0.8,0.802,0.665,0.03,0.734,184,0.2
0.9,0.798,0.663,0.031,0.7372,161,0.19
1.0,0.795,0.661,0.032,0.7396,146,0.19
1.1,0.792,0.658,0.032,0.7415,131,0.17
1.2000000000000002,0.789,0.655,0.033,0.7414,117,0.17
1.3000000000000005,0.786,0.652,0.034,0.7391,109,0.18
1.4,0.783,0.649,0.034,0.7346,103,0.18
1.5000000000000002,0.78,0.646,0.035,0.7288,87,0.16
1.6,0.778,0.644,0.034,0.7214,80,0.16
1.7000000000000002,0.776,0.644,0.035,0.714,73,0.16
1.8000000000000005,0.774,0.644,0.035,0.7072,66,0.16
1.9,0.772,0.646,0.035,0.7024,58,0.16
2.0,0.771,0.648,0.035,0.6969,55,0.16
2.1,0.77,0.651,0.035,0.6925,46,0.16
2.2,0.769,0.654,0.035,0.6879,42,0.16
2.3000000000000003,0.768,0.657,0.035,0.6832,38,0.16
2.4000000000000004,0.767,0.66,0.034,0.6783,37,0.17
2.5000000000000004,0.766,0.663,0.035,0.6733,37,0.16
2.6,0.766,0.666,0.035,0.6668,34,0.17
2.7,0.765,0.669,0.035,0.66,31,0.15
2.8000000000000003,0.765,0.672,0.035,0.6529,30,0.16
2.9000000000000004,0.765,0.674,0.035,0.6457,26,0.15
3.0000000000000004,0.764,0.677,0.035,0.6376,26,0.17
3.1,0.764,0.68,0.034,0.6292,26,0.16
3.2,0.764,0.682,0.034,0.6199,25,0.16
3.3000000000000003,0.763,0.686,0.034,0.6085,24,0.16
3.4000000000000004,0.763,0.688,0.034,0.5963,23,0.16
3.5000000000000004,0.763,0.692,0.034,0.5836,23,0.15
3.6,0.762,0.695,0.033,0.569,22,0.15
3.7,0.762,0.7,0.033,0.55,22,0.16
3.8,0.761,0.704,0.033,0.5292,22,0.15
3.9,0.761,0.709,0.033,0.5067,22,0.16
4.0,0.76,0.714,0.033,0.484,20,0.16
4.1,0.76,0.72,0.032,0.4633,18,0.15
4.2,0.76,0.727,0.031,0.4399,18,0.15
4.3,0.759,0.732,0.031,0.4152,18,0.16
4.4,0.759,0.738,0.03,0.3899,18,0.15
4.5,0.759,0.739,0.029,0.364,18,0.16
4.6,0.759,0.739,0.028,0.3408,17,0.17
4.7,0.758,0.739,0.028,0.3177,17,0.16
4.8,0.758,0.738,0.028,0.2951,17,0.15
4.9,0.758,0.738,0.028,0.2705,15,0.15
5.0,0.758,0.738,0.028,0.2434,14,0.15
5.1,0.758,0.739,0.028,0.2174,14,0.16
5.199999999999999,0.758,0.74,0.027,0.1936,14,0.16
5.299999999999999,0.757,0.742,0.026,0.172,14,0.15
5.399999999999999,0.757,0.743,0.026,0.1528,14,0.15
5.499999999999998,0.757,0.742,0.026,0.1359,14,0.15
5.599999999999998,0.757,0.739,0.027,0.1285,13,0.15
5.6999999999999975,0.756,0.739,0.027,0.1285,13,0.16
5.799999999999997,0.756,0.739,0.027,0.1286,13,0.16
5.899999999999997,0.756,0.738,0.027,0.1287,13,0.15
5.9999999999999964,0.755,0.738,0.026,0.1288,13,0.15
6.099999999999996,0.755,0.738,0.027,0.1289,13,0.16
6.199999999999996,0.754,0.737,0.027,0.129,13,0.15
6.299999999999995,0.754,0.737,0.027,0.1291,13,0.15
6.399999999999995,0.753,0.737,0.027,0.1292,12,0.22
6.499999999999995,0.753,0.736,0.027,0.1293,12,0.16
6.599999999999994,0.752,0.736,0.027,0.1295,12,0.15
6.699999999999994,0.751,0.735,0.027,0.1297,12,0.15
6.799999999999994,0.751,0.735,0.027,0.1299,11,0.15
6.899999999999993,0.75,0.734,0.027,0.1302,11,0.16
6.999999999999993,0.75,0.734,0.027,0.1304,11,0.16
7.0999999999999925,0.749,0.733,0.027,0.1307,11,0.15
7.199999999999992,0.748,0.733,0.027,0.131,10,0.15
7.299999999999992,0.747,0.732,0.026,0.1313,10,0.15
7.399999999999991,0.747,0.732,0.026,0.1317,9,0.15
7.499999999999991,0.746,0.732,0.026,0.132,9,0.15
7.599999999999991,0.745,0.731,0.026,0.1324,9,0.15
7.69999999999999,0.745,0.73,0.026,0.1328,9,0.15
7.79999999999999,0.744,0.73,0.026,0.1332,9,0.15
7.89999999999999,0.743,0.729,0.026,0.1337,9,0.15
7.999999999999989,0.742,0.728,0.026,0.1341,9,0.15
8.099999999999989,0.741,0.728,0.026,0.1346,9,0.15
8.199999999999989,0.74,0.727,0.026,0.1351,9,0.15
8.299999999999988,0.739,0.726,0.026,0.1356,8,0.15
8.399999999999988,0.738,0.726,0.026,0.1361,8,0.15
8.499999999999988,0.737,0.726,0.026,0.1365,6,0.15
8.599999999999987,0.737,0.725,0.026,0.1369,6,0.15
8.699999999999987,0.736,0.725,0.026,0.1374,5,0.15
8.799999999999986,0.736,0.725,0.026,0.1379,5,0.15
8.899999999999986,0.736,0.724,0.026,0.1384,5,0.15
8.999999999999986,0.735,0.724,0.026,0.1389,5,0.16
9.099999999999984,0.735,0.724,0.026,0.1394,5,0.15
9.199999999999983,0.734,0.724,0.025,0.14,5,0.15
9.299999999999985,0.734,0.723,0.025,0.1406,5,0.15
9.399999999999984,0.733,0.723,0.025,0.1412,5,0.15
9.499999999999984,0.733,0.722,0.025,0.1418,5,0.15
9.599999999999984,0.732,0.722,0.025,0.1424,5,0.15
9.699999999999983,0.731,0.721,0.025,0.143,5,0.15
9.799999999999985,0.73,0.72,0.025,0.1437,5,0.15
9.899999999999984,0.73,0.719,0.025,0.1444,5,0.15
9.999999999999982,0.729,0.719,0.025,0.1451,5,0.15
10.099999999999982,0.728,0.718,0.025,0.1457,4,0.15
10.199999999999982,0.727,0.718,0.025,0.1463,4,0.15
10.29999999999998,0.725,0.717,0.025,0.1469,4,0.15
10.39999999999998,0.724,0.716,0.024,0.1475,4,0.15
10.49999999999998,0.723,0.715,0.024,0.1482,4,0.15
10.59999999999998,0.722,0.714,0.024,0.1489,4,0.15
10.69999999999998,0.72,0.713,0.024,0.1496,4,0.15
10.79999999999998,0.719,0.713,0.024,0.1503,4,0.19
10.89999999999998,0.717,0.711,0.024,0.1511,4,0.17
10.99999999999998,0.716,0.711,0.023,0.1519,4,0.16
11.099999999999978,0.714,0.71,0.024,0.1527,4,0.16
11.199999999999978,0.712,0.709,0.024,0.1535,3,0.16
11.299999999999978,0.711,0.707,0.024,0.154,3,0.16
11.399999999999975,0.709,0.707,0.024,0.1545,3,0.16
11.499999999999975,0.708,0.705,0.023,0.155,3,0.16
11.599999999999977,0.707,0.704,0.023,0.1556,3,0.16
11.699999999999976,0.706,0.703,0.023,0.1561,2,0.15
11.799999999999976,0.705,0.702,0.023,0.1567,2,0.15
11.899999999999975,0.704,0.701,0.023,0.1572,2,0.16
11.999999999999975,0.703,0.7,0.023,0.1578,2,0.15
12.099999999999977,0.702,0.699,0.023,0.1583,2,0.16
12.199999999999974,0.701,0.698,0.023,0.1589,2,0.16
12.299999999999974,0.699,0.696,0.023,0.1596,2,0.16
12.399999999999974,0.698,0.694,0.023,0.1602,2,0.15
12.499999999999972,0.696,0.693,0.022,0.1608,2,0.16
12.599999999999971,0.694,0.69,0.022,0.1615,2,0.15
12.699999999999973,0.692,0.688,0.022,0.1622,2,0.15
12.799999999999972,0.689,0.684,0.021,0.1626,1,0.15
12.899999999999972,0.689,0.684,0.021,0.1625,1,0.16
12.999999999999972,0.689,0.684,0.021,0.1625,1,0.15
13.099999999999971,0.689,0.684,0.021,0.1624,1,0.15
13.19999999999997,0.689,0.684,0.021,0.1623,1,0.15
13.29999999999997,0.689,0.684,0.021,0.1622,1,0.15
13.39999999999997,0.689,0.684,0.021,0.1622,1,0.15
13.49999999999997,0.689,0.684,0.021,0.1621,1,0.16
13.59999999999997,0.689,0.684,0.021,0.162,1,0.15
13.699999999999967,0.689,0.684,0.021,0.162,1,0.15
13.799999999999969,0.689,0.684,0.021,0.1619,1,0.15
13.899999999999968,0.689,0.684,0.021,0.1618,1,0.15
13.999999999999968,0.689,0.684,0.021,0.1617,1,0.15
14.099999999999968,0.689,0.684,0.021,0.1617,1,0.15
14.199999999999967,0.689,0.684,0.021,0.1616,1,0.15
14.299999999999969,0.689,0.684,0.021,0.1615,1,0.15
14.399999999999968,0.689,0.684,0.021,0.1615,1,0.15
14.499999999999966,0.689,0.684,0.021,0.1614,1,0.16
14.599999999999966,0.689,0.684,0.021,0.1614,1,0.16
14.699999999999966,0.689,0.684,0.021,0.1613,1,0.21
14.799999999999963,0.689,0.684,0.021,0.1612,1,0.2
14.899999999999965,0.689,0.684,0.021,0.1612,1,0.16
14.999999999999964,0.689,0.684,0.021,0.1611,1,0.15
15.099999999999964,0.689,0.684,0.021,0.161,1,0.15
15.199999999999964,0.689,0.684,0.021,0.161,1,0.15
15.299999999999963,0.689,0.684,0.021,0.1609,1,0.16
15.399999999999965,0.689,0.684,0.021,0.1609,1,0.16
15.499999999999964,0.689,0.684,0.021,0.1608,1,0.15
15.599999999999962,0.689,0.684,0.021,0.1608,1,0.16
15.699999999999962,0.689,0.684,0.021,0.1607,1,0.16
15.799999999999962,0.689,0.684,0.021,0.1606,1,0.17
15.89999999999996,0.689,0.684,0.021,0.1606,1,0.15
15.99999999999996,0.689,0.684,0.021,0.1605,1,0.16
16.09999999999996,0.689,0.684,0.021,0.1605,1,0.15
