lambda,C-index Train,Mean C-index Test,C-index Test sd,IBS@3y,Non-zero coefs,Execution Time (min)
0.1,0.854,0.668,0.029,0.9093,548,0.6
0.15,0.847,0.666,0.028,0.9177,501,0.42
0.2,0.841,0.664,0.025,0.9147,452,0.36
0.25,0.837,0.661,0.025,0.9116,412,0.31
0.3,0.834,0.66,0.024,0.9128,365,0.28
0.3500000000000001,0.83,0.657,0.025,0.8934,338,0.28
0.4000000000000001,0.827,0.657,0.025,0.8903,321,0.26
0.45,0.824,0.657,0.025,0.8893,299,0.23
0.5,0.821,0.657,0.025,0.8856,283,0.26
0.6,0.816,0.659,0.024,0.8854,249,0.23
0.7,0.811,0.661,0.024,0.8794,217,0.22
0.7999999999999999,0.807,0.66,0.024,0.8531,187,0.21
0.8999999999999999,0.803,0.659,0.024,0.8238,164,0.18
1.0,0.8,0.658,0.024,0.814,148,0.18
1.1,0.797,0.657,0.024,0.8066,132,0.18
1.1999999999999995,0.793,0.656,0.025,0.8007,119,0.17
1.2999999999999998,0.79,0.655,0.026,0.7927,107,0.17
1.4,0.788,0.654,0.026,0.7832,100,0.17
1.4999999999999998,0.785,0.654,0.026,0.7736,96,0.17
1.5999999999999996,0.783,0.654,0.027,0.7615,84,0.17
1.6999999999999995,0.781,0.655,0.027,0.7476,78,0.16
1.7999999999999998,0.779,0.655,0.027,0.7298,69,0.16
1.9,0.777,0.656,0.028,0.7073,65,0.16
2.0,0.776,0.657,0.028,0.683,58,0.16
2.1,0.774,0.656,0.029,0.6583,52,0.15
2.2,0.773,0.656,0.029,0.6419,46,0.16
2.3,0.772,0.656,0.029,0.6269,44,0.16
2.3999999999999995,0.771,0.657,0.03,0.6106,41,0.16
2.5,0.77,0.657,0.03,0.5936,39,0.16
2.6,0.769,0.658,0.03,0.5756,37,0.15
2.6999999999999997,0.769,0.659,0.03,0.5545,33,0.15
2.7999999999999994,0.768,0.66,0.03,0.5363,31,0.16
2.8999999999999995,0.768,0.661,0.031,0.5197,30,0.16
3.0,0.767,0.663,0.031,0.501,28,0.15
3.1,0.767,0.665,0.032,0.481,27,0.16
3.1999999999999997,0.766,0.666,0.031,0.4605,27,0.15
3.2999999999999994,0.766,0.668,0.032,0.4396,27,0.15
3.3999999999999995,0.766,0.669,0.032,0.4186,23,0.15
3.499999999999999,0.765,0.672,0.033,0.3955,22,0.16
3.599999999999999,0.764,0.676,0.033,0.3702,22,0.16
3.6999999999999993,0.764,0.681,0.034,0.3445,22,0.16
3.8,0.763,0.685,0.034,0.3188,22,0.15
3.9,0.762,0.691,0.034,0.2946,21,0.16
3.999999999999999,0.762,0.696,0.033,0.2708,19,0.16
4.1,0.762,0.703,0.033,0.2465,18,0.16
4.199999999999999,0.761,0.711,0.032,0.2222,18,0.16
4.299999999999999,0.761,0.719,0.03,0.1994,18,0.16
4.399999999999999,0.761,0.726,0.029,0.1785,18,0.16
