lambda,C-index Train,Mean C-index Test,C-index Test sd,IBS@3y,IBS_3y_std,IBS@3y CI95%,Non-zero coefs,Execution Time (min)
0.1,0.85,0.708,0.023,0.2769,0.03125096147891384,"[0.2576, 0.2963]",547,0.58
0.2,0.838,0.658,0.033,0.5636,0.036803857777955626,"[0.5408, 0.5864]",442,0.36
0.30000000000000004,0.83,0.642,0.035,0.5945,0.0407738229784743,"[0.5692, 0.6197]",361,0.27
0.4,0.822,0.629,0.036,0.6277,0.043917672009900974,"[0.6005, 0.6550]",319,0.29
0.5,0.816,0.625,0.036,0.6429,0.04520482145661024,"[0.6149, 0.6709]",275,0.26
0.6,0.81,0.623,0.035,0.6497,0.04573407101273537,"[0.6214, 0.6781]",241,0.25
0.7000000000000001,0.805,0.623,0.035,0.6503,0.04581745468501208,"[0.6219, 0.6787]",209,0.22
0.8,0.801,0.622,0.035,0.6547,0.04601683527179925,"[0.6262, 0.6833]",185,0.21
0.9,0.798,0.62,0.035,0.6585,0.0461894208389118,"[0.6299, 0.6871]",162,0.19
1.0,0.794,0.619,0.035,0.6615,0.0463132419045623,"[0.6328, 0.6902]",145,0.21
1.1,0.791,0.618,0.035,0.6625,0.04636522812654158,"[0.6337, 0.6912]",131,0.19
1.2000000000000002,0.788,0.617,0.035,0.6623,0.04641873364689586,"[0.6336, 0.6911]",119,0.18
1.3000000000000003,0.785,0.616,0.035,0.6596,0.04638232995882319,"[0.6308, 0.6883]",107,0.18
1.4000000000000001,0.783,0.616,0.035,0.6577,0.04638521382193239,"[0.6290, 0.6865]",103,0.19
1.5000000000000002,0.78,0.616,0.035,0.6544,0.04631554571933462,"[0.6257, 0.6831]",86,0.19
1.6,0.778,0.617,0.035,0.6479,0.04608211886821769,"[0.6194, 0.6765]",79,0.19
1.7000000000000002,0.776,0.618,0.035,0.6407,0.04576025106103051,"[0.6123, 0.6690]",73,0.17
1.8000000000000003,0.774,0.619,0.035,0.633,0.04539024239199077,"[0.6048, 0.6611]",65,0.17
1.9000000000000001,0.772,0.621,0.035,0.6228,0.044877777952302765,"[0.5950, 0.6507]",58,0.17
2.0,0.771,0.622,0.036,0.6129,0.0443609113453025,"[0.5854, 0.6404]",54,0.16
2.1,0.77,0.624,0.036,0.5999,0.04369673997334395,"[0.5728, 0.6270]",47,0.15
2.2,0.769,0.625,0.036,0.5868,0.043025632867802345,"[0.5601, 0.6135]",42,0.16
2.3000000000000003,0.768,0.627,0.037,0.5734,0.04233632820000377,"[0.5472, 0.5997]",38,0.16
2.4000000000000004,0.767,0.629,0.037,0.559,0.04161357335812403,"[0.5333, 0.5848]",37,0.16
2.5000000000000004,0.767,0.632,0.037,0.5443,0.04087931586772962,"[0.5190, 0.5696]",36,0.16
2.6,0.766,0.634,0.037,0.5284,0.04009384096497579,"[0.5036, 0.5533]",32,0.16
2.7,0.765,0.637,0.037,0.5129,0.03932417289121593,"[0.4885, 0.5373]",31,0.16
2.8000000000000003,0.765,0.639,0.038,0.497,0.03853752430255012,"[0.4731, 0.5209]",28,0.15
2.9000000000000004,0.765,0.642,0.038,0.4804,0.03770641071980563,"[0.4571, 0.5038]",25,0.16
3.0000000000000004,0.764,0.645,0.038,0.4619,0.03677486501031138,"[0.4391, 0.4847]",25,0.16
3.1,0.764,0.649,0.039,0.443,0.03579536118575063,"[0.4208, 0.4652]",25,0.15
3.2,0.763,0.653,0.039,0.4239,0.03474777844393583,"[0.4024, 0.4454]",24,0.16
3.3000000000000003,0.763,0.656,0.039,0.4049,0.03363094746306465,"[0.3841, 0.4258]",23,0.15
3.4000000000000004,0.763,0.66,0.039,0.385,0.032351258514323834,"[0.3649, 0.4050]",22,0.16
3.5000000000000004,0.763,0.665,0.04,0.3651,0.030933233878541994,"[0.3459, 0.3843]",22,0.16
3.6,0.762,0.67,0.039,0.3452,0.029361427859259225,"[0.3270, 0.3634]",21,0.15
3.7,0.762,0.675,0.04,0.3232,0.027433015929984237,"[0.3062, 0.3402]",20,0.16
3.8000000000000003,0.761,0.682,0.039,0.2999,0.02518546962139462,"[0.2843, 0.3155]",20,0.16
3.9000000000000004,0.761,0.689,0.039,0.2769,0.02279116777461549,"[0.2628, 0.2910]",20,0.15
4.0,0.76,0.696,0.038,0.254,0.02026206558318375,"[0.2415, 0.2666]",19,0.15
4.1,0.76,0.704,0.038,0.2314,0.01766636515620259,"[0.2204, 0.2423]",17,0.16
4.2,0.76,0.713,0.037,0.2085,0.015003908551094373,"[0.1992, 0.2178]",17,0.16
4.3,0.759,0.723,0.035,0.1874,0.012567659851728804,"[0.1796, 0.1952]",17,0.15
4.3999999999999995,0.759,0.732,0.032,0.1683,0.010439805891226086,"[0.1618, 0.1747]",17,0.16
4.5,0.759,0.74,0.032,0.1511,0.008670084574854551,"[0.1457, 0.1565]",17,0.16
4.6,0.759,0.743,0.029,0.1359,0.007276937838028745,"[0.1314, 0.1405]",17,0.16
4.7,0.758,0.741,0.027,0.128,0.006610551663579582,"[0.1239, 0.1321]",16,0.15
4.8,0.758,0.741,0.027,0.1281,0.006546047518817247,"[0.1241, 0.1322]",16,0.16
4.9,0.758,0.741,0.028,0.1282,0.006484953522222876,"[0.1241, 0.1322]",15,0.15
5.0,0.758,0.741,0.027,0.1282,0.006426657473261169,"[0.1242, 0.1322]",15,0.15
5.1,0.758,0.741,0.027,0.1282,0.0063635323542196205,"[0.1243, 0.1322]",13,0.16
5.2,0.757,0.74,0.027,0.1283,0.006300162849471325,"[0.1243, 0.1322]",13,0.15
5.3,0.757,0.74,0.027,0.1283,0.006236853045421391,"[0.1244, 0.1322]",13,0.15
5.4,0.757,0.74,0.027,0.1283,0.006173617148333256,"[0.1245, 0.1322]",13,0.15
5.5,0.757,0.74,0.027,0.1284,0.006110472209211689,"[0.1246, 0.1322]",13,0.15
5.6,0.757,0.739,0.027,0.1285,0.006047434776149718,"[0.1247, 0.1322]",13,0.16
5.7,0.756,0.739,0.027,0.1285,0.005984521843408601,"[0.1248, 0.1322]",13,0.15
5.8,0.756,0.739,0.027,0.1286,0.0059217525626579755,"[0.1249, 0.1323]",13,0.15
5.9,0.756,0.738,0.027,0.1287,0.005859146497331443,"[0.1250, 0.1323]",13,0.15
6.0,0.755,0.738,0.026,0.1288,0.005796725316625462,"[0.1252, 0.1324]",13,0.15
6.1,0.755,0.738,0.027,0.1289,0.005734511804805586,"[0.1253, 0.1324]",13,0.16
6.2,0.754,0.737,0.027,0.129,0.005672528736139915,"[0.1254, 0.1325]",13,0.15
6.3,0.754,0.737,0.027,0.1291,0.00561080119566124,"[0.1256, 0.1325]",13,0.16
6.4,0.753,0.737,0.027,0.1292,0.005549386322718762,"[0.1257, 0.1326]",12,0.15
6.5,0.753,0.736,0.027,0.1293,0.005485852144846104,"[0.1259, 0.1327]",12,0.15
6.6,0.752,0.736,0.027,0.1295,0.0054227841675847,"[0.1262, 0.1329]",12,0.15
6.7,0.751,0.735,0.027,0.1297,0.005360104840144444,"[0.1264, 0.1330]",12,0.15
6.8,0.751,0.735,0.027,0.1299,0.00530639523985659,"[0.1266, 0.1332]",11,0.15
6.9,0.75,0.734,0.027,0.1302,0.005253889498901717,"[0.1269, 0.1334]",11,0.15
7.0,0.75,0.734,0.027,0.1304,0.005201782860563838,"[0.1272, 0.1337]",11,0.16
7.1,0.749,0.733,0.027,0.1307,0.005150113357215336,"[0.1275, 0.1339]",11,0.15
7.2,0.748,0.733,0.027,0.131,0.0051018449308471115,"[0.1278, 0.1342]",10,0.16
7.3,0.747,0.732,0.026,0.1313,0.0050597741974080955,"[0.1282, 0.1345]",10,0.15
7.4,0.747,0.732,0.026,0.1317,0.0050185681273885304,"[0.1286, 0.1348]",9,0.15
7.5,0.746,0.732,0.026,0.132,0.0049778522030222904,"[0.1289, 0.1351]",9,0.15
7.6,0.745,0.731,0.026,0.1324,0.004937598419931585,"[0.1294, 0.1355]",9,0.16
7.7,0.745,0.73,0.026,0.1328,0.004897835960212112,"[0.1298, 0.1358]",9,0.15
7.8,0.744,0.73,0.026,0.1332,0.00485859111565945,"[0.1302, 0.1362]",9,0.16
7.9,0.743,0.729,0.026,0.1337,0.004819916342128401,"[0.1307, 0.1366]",9,0.15
8.0,0.742,0.728,0.026,0.1341,0.004781770968614396,"[0.1311, 0.1371]",9,0.15
8.1,0.741,0.728,0.026,0.1346,0.004744255127818015,"[0.1316, 0.1375]",9,0.15
8.2,0.74,0.727,0.026,0.1351,0.004707377692870061,"[0.1322, 0.1380]",9,0.15
8.3,0.739,0.726,0.026,0.1356,0.004669126700303004,"[0.1327, 0.1385]",8,0.16
8.4,0.738,0.726,0.026,0.1361,0.0046266332783291625,"[0.1332, 0.1389]",8,0.15
8.5,0.737,0.726,0.026,0.1365,0.004584836926927349,"[0.1336, 0.1393]",6,0.15
8.6,0.737,0.725,0.026,0.1369,0.004543696425522417,"[0.1341, 0.1397]",6,0.15
8.7,0.736,0.725,0.026,0.1374,0.004506001936045664,"[0.1346, 0.1402]",5,0.16
8.8,0.736,0.725,0.026,0.1379,0.004469447252127837,"[0.1351, 0.1406]",5,0.15
8.9,0.736,0.724,0.026,0.1384,0.004432973586411839,"[0.1356, 0.1411]",5,0.15
9.0,0.735,0.724,0.026,0.1389,0.004396603095750114,"[0.1362, 0.1416]",5,0.16
9.1,0.735,0.724,0.026,0.1394,0.0043603595958955094,"[0.1367, 0.1421]",5,0.15
9.2,0.734,0.724,0.025,0.14,0.004324268562546965,"[0.1373, 0.1427]",5,0.15
9.3,0.734,0.723,0.025,0.1406,0.004288357121078198,"[0.1379, 0.1432]",5,0.15
9.4,0.733,0.723,0.025,0.1412,0.004252654262714186,"[0.1385, 0.1438]",5,0.15
