lambda,C-index Train,Mean C-index Test,C-index Test sd,IBS@3y,Non-zero coefs,Execution Time (min)
0.01,0.84,0.506,0.033,0.1441,686,2.91
0.0118367346938775,0.84,0.505,0.033,0.121,686,2.89
0.0136734693877551,0.84,0.505,0.033,0.1042,679,2.89
0.0155102040816326,0.84,0.504,0.033,0.0924,674,2.49
0.0173469387755102,0.84,0.504,0.032,0.086,672,2.61
0.0191836734693877,0.84,0.505,0.031,0.0823,665,2.16
0.0210204081632653,0.84,0.506,0.031,0.079,662,2.0
0.0228571428571428,0.84,0.506,0.031,0.0762,656,1.9
0.0246938775510204,0.841,0.508,0.03,0.0731,654,1.94
0.0265306122448979,0.84,0.509,0.03,0.0689,649,1.76
0.0283673469387755,0.841,0.511,0.029,0.0639,642,1.73
0.030204081632653,0.841,0.512,0.029,0.0594,644,1.72
0.0320408163265306,0.841,0.513,0.029,0.0547,640,1.61
0.0338775510204081,0.841,0.515,0.028,0.0498,638,1.66
0.0357142857142857,0.841,0.518,0.028,0.0454,639,1.62
0.0375510204081632,0.84,0.52,0.028,0.0395,638,1.77
0.0393877551020408,0.84,0.523,0.027,0.0325,641,1.92
0.0412244897959183,0.84,0.527,0.027,0.0246,640,1.79
0.0430612244897959,0.84,0.531,0.028,0.0198,640,1.73
0.0448979591836734,0.84,0.534,0.028,0.0151,636,1.72
0.046734693877551,0.84,0.539,0.027,0.0114,633,1.6
0.0485714285714285,0.84,0.542,0.027,0.0086,633,1.56
0.0504081632653061,0.84,0.547,0.027,0.0064,633,1.68
0.0522448979591836,0.84,0.552,0.027,0.0049,636,1.7
0.0540816326530612,0.84,0.555,0.027,0.0036,632,1.35
0.0559183673469387,0.84,0.556,0.027,0.0026,632,1.28
0.0577551020408163,0.84,0.557,0.027,0.002,631,1.24
0.0595918367346938,0.84,0.559,0.027,0.0016,631,1.26
0.0614285714285714,0.84,0.561,0.027,0.0013,633,1.22
0.0632653061224489,0.84,0.562,0.027,0.0011,628,1.27
0.0651020408163265,0.84,0.564,0.028,0.001,624,1.27
0.066938775510204,0.84,0.566,0.028,0.0009,623,1.28
0.0687755102040816,0.84,0.568,0.028,0.0009,622,1.23
0.0706122448979591,0.84,0.57,0.028,0.0008,618,1.24
0.0724489795918367,0.84,0.573,0.029,0.0008,614,1.11
0.0742857142857142,0.84,0.575,0.029,0.0008,612,1.12
0.0761224489795918,0.84,0.577,0.029,0.0008,611,1.16
0.0779591836734693,0.839,0.58,0.03,0.0008,608,1.07
0.0797959183673469,0.839,0.581,0.03,0.0008,600,1.08
0.0816326530612244,0.839,0.583,0.03,0.0008,601,0.98
0.083469387755102,0.839,0.584,0.03,0.0008,602,1.05
0.0853061224489795,0.839,0.586,0.031,0.0008,602,0.99
0.0871428571428571,0.839,0.589,0.031,0.0008,597,1.02
0.0889795918367346,0.839,0.592,0.032,0.0008,593,0.94
0.0908163265306122,0.839,0.595,0.032,0.0008,591,1.07
0.0926530612244898,0.839,0.597,0.033,0.0008,591,0.98
0.0944897959183673,0.839,0.598,0.034,0.0008,589,0.92
0.0963265306122449,0.839,0.6,0.033,0.0008,587,0.76
