lambda,C-index Train,Mean C-index Test,C-index Test sd,IBS@3y,IBS_3y_std,IBS@3y CI95%,Non-zero coefs,Execution Time (min)
0.1,0.854,0.668,0.029,0.9093,0.0441574041316508,"[0.8819, 0.9366]",548,0.6
0.2,0.841,0.664,0.025,0.9147,0.043214895706082,"[0.8879, 0.9415]",452,0.36
0.3,0.834,0.66,0.024,0.9128,0.043591421118256,"[0.8857, 0.9398]",365,0.3
0.4,0.827,0.657,0.025,0.8903,0.0392345879127067,"[0.8660, 0.9146]",321,0.26
0.5,0.821,0.657,0.025,0.8856,0.039154735745721,"[0.8613, 0.9098]",283,0.23
0.6,0.816,0.659,0.024,0.8854,0.0396272934938834,"[0.8608, 0.9099]",249,0.23
0.7000000000000001,0.811,0.661,0.024,0.8794,0.0394334900696451,"[0.8550, 0.9038]",217,0.21
0.8,0.807,0.66,0.024,0.8531,0.0390081045337725,"[0.8289, 0.8773]",187,0.2
0.9,0.803,0.659,0.024,0.8238,0.0411120358712497,"[0.7983, 0.8493]",164,0.19
1.0,0.8,0.658,0.024,0.814,0.0419925433977205,"[0.7880, 0.8401]",148,0.19
1.1,0.797,0.657,0.024,0.8066,0.0420949208639721,"[0.7806, 0.8327]",132,0.18
1.2000000000000002,0.793,0.656,0.025,0.8007,0.0421224279096508,"[0.7746, 0.8268]",119,0.17
1.3000000000000005,0.79,0.655,0.026,0.7927,0.0425865159987475,"[0.7663, 0.8191]",107,0.17
1.4,0.788,0.654,0.026,0.7832,0.0432836650826471,"[0.7564, 0.8101]",100,0.18
1.5000000000000002,0.785,0.654,0.026,0.7736,0.043932487214886,"[0.7464, 0.8009]",96,0.17
1.6,0.783,0.654,0.027,0.7615,0.0448542874823123,"[0.7337, 0.7893]",84,0.17
1.7000000000000002,0.781,0.655,0.027,0.7476,0.0458177465396279,"[0.7192, 0.7760]",78,0.16
1.8000000000000005,0.779,0.655,0.027,0.7298,0.0468438813608438,"[0.7008, 0.7588]",69,0.16
1.9,0.777,0.656,0.028,0.7073,0.0476990992940717,"[0.6777, 0.7368]",65,0.16
2.0,0.776,0.657,0.028,0.683,0.0478558076427415,"[0.6533, 0.7127]",58,0.16
2.1,0.774,0.656,0.029,0.6583,0.0470197796531294,"[0.6292, 0.6875]",52,0.16
2.2,0.773,0.656,0.029,0.6419,0.0460745139409788,"[0.6134, 0.6705]",46,0.16
2.3000000000000003,0.772,0.656,0.029,0.6269,0.0449167604110176,"[0.5990, 0.6547]",44,0.16
2.4000000000000004,0.771,0.657,0.03,0.6106,0.043353947937417,"[0.5838, 0.6375]",41,0.15
2.5000000000000004,0.77,0.657,0.03,0.5936,0.0414615866041559,"[0.5679, 0.6193]",39,0.16
2.6,0.769,0.658,0.03,0.5756,0.0394421762160643,"[0.5512, 0.6001]",37,0.15
2.7,0.769,0.659,0.03,0.5545,0.0377334290537949,"[0.5312, 0.5779]",33,0.15
2.8000000000000003,0.768,0.66,0.03,0.5363,0.036774232948374,"[0.5135, 0.5591]",31,0.15
2.9000000000000004,0.768,0.661,0.031,0.5197,0.036221685474844,"[0.4972, 0.5421]",30,0.15
3.0000000000000004,0.767,0.663,0.031,0.501,0.0356652443722391,"[0.4789, 0.5231]",28,0.15
3.1,0.767,0.665,0.032,0.481,0.0351146555072127,"[0.4592, 0.5027]",27,0.15
3.2,0.766,0.666,0.031,0.4605,0.0345603370533463,"[0.4391, 0.4820]",27,0.16
3.3000000000000003,0.766,0.668,0.032,0.4396,0.0339520206785684,"[0.4186, 0.4607]",27,0.15
3.4000000000000004,0.766,0.669,0.032,0.4186,0.0332624687290595,"[0.3980, 0.4392]",23,0.16
3.5000000000000004,0.765,0.672,0.033,0.3955,0.0323273171296042,"[0.3755, 0.4155]",22,0.17
3.6,0.764,0.676,0.033,0.3702,0.0310535034055325,"[0.3509, 0.3894]",22,0.18
3.7,0.764,0.681,0.034,0.3445,0.0295087924154294,"[0.3262, 0.3628]",22,0.18
3.8,0.763,0.685,0.034,0.3188,0.0277066328488318,"[0.3017, 0.3360]",22,0.17
3.9,0.762,0.691,0.034,0.2946,0.0256568598634989,"[0.2787, 0.3105]",21,0.16
4.0,0.762,0.696,0.033,0.2708,0.0234420705836248,"[0.2562, 0.2853]",19,0.16
4.1,0.762,0.703,0.033,0.2465,0.0210100884137627,"[0.2335, 0.2596]",18,0.16
4.2,0.761,0.711,0.032,0.2222,0.0183769919332113,"[0.2108, 0.2335]",18,0.16
4.3,0.761,0.719,0.03,0.1994,0.0157733442812551,"[0.1896, 0.2092]",18,0.16
4.4,0.761,0.726,0.029,0.1785,0.0133268996375618,"[0.1702, 0.1868]",18,0.16
4.5,0.76,0.733,0.026,0.1597,0.0111544917051659,"[0.1527, 0.1666]",18,0.17
