lambda,C-index Train,Mean C-index Test,C-index Test sd,IBS@3y,Non-zero coefs,Execution Time (min)
0.1,0.871,0.491,0.027,0.4745,666,0.86
0.2,0.855,0.564,0.031,0.5457,540,0.54
0.3,0.843,0.609,0.033,0.5767,466,0.54
0.4,0.832,0.629,0.029,0.6132,406,0.5
0.5,0.824,0.629,0.031,0.6653,332,0.43
0.6,0.819,0.627,0.032,0.6447,296,0.41
0.7000000000000001,0.813,0.624,0.032,0.5946,260,0.4
0.8,0.809,0.623,0.032,0.5945,230,0.38
0.9,0.805,0.622,0.033,0.6032,200,0.36
1.0,0.8,0.621,0.034,0.6117,183,0.35
1.06,0.798,0.62,0.034,0.6151,172,0.32
1.12,0.796,0.62,0.034,0.6176,160,0.32
1.18,0.794,0.62,0.034,0.62,154,0.32
1.24,0.792,0.621,0.034,0.6208,145,0.32
1.3,0.79,0.621,0.034,0.6206,137,0.31
1.36,0.789,0.62,0.034,0.6212,127,0.3
1.42,0.787,0.62,0.034,0.6207,122,0.32
1.48,0.785,0.62,0.034,0.6183,114,0.31
1.54,0.784,0.62,0.034,0.615,107,0.32
1.6,0.782,0.621,0.034,0.6098,98,0.31
1.66,0.78,0.622,0.034,0.605,94,0.3
1.72,0.779,0.623,0.034,0.6003,89,0.31
1.78,0.777,0.623,0.034,0.5953,85,0.3
1.84,0.776,0.624,0.035,0.5903,78,0.3
1.9,0.775,0.625,0.035,0.5843,72,0.29
1.96,0.774,0.626,0.035,0.5773,65,0.29
2.02,0.773,0.627,0.035,0.5707,61,0.29
2.08,0.772,0.628,0.035,0.5641,58,0.29
2.14,0.771,0.63,0.035,0.5569,52,0.29
2.2,0.771,0.631,0.035,0.5502,49,0.28
2.26,0.77,0.632,0.035,0.5423,46,0.28
2.32,0.77,0.634,0.035,0.5341,43,0.29
2.38,0.769,0.635,0.035,0.5254,43,0.29
2.44,0.768,0.637,0.035,0.5168,42,0.28
2.5,0.768,0.638,0.036,0.508,41,0.28
2.56,0.767,0.64,0.035,0.4991,40,0.29
2.62,0.767,0.641,0.035,0.4901,36,0.28
2.68,0.767,0.643,0.035,0.4813,36,0.28
2.74,0.766,0.644,0.035,0.4725,36,0.29
2.8,0.766,0.646,0.035,0.4629,33,0.29
2.86,0.766,0.648,0.035,0.4531,31,0.28
2.92,0.766,0.649,0.035,0.4428,29,0.28
2.98,0.765,0.651,0.036,0.4326,28,0.29
3.04,0.765,0.653,0.036,0.4226,27,0.28
3.1,0.765,0.655,0.036,0.4123,27,0.28
3.16,0.764,0.657,0.036,0.402,27,0.28
3.22,0.764,0.66,0.036,0.3916,25,0.29
3.28,0.764,0.662,0.036,0.381,25,0.28
3.34,0.764,0.664,0.036,0.3705,24,0.28
3.4,0.764,0.667,0.037,0.36,24,0.29
3.46,0.763,0.669,0.037,0.3494,24,0.28
3.52,0.763,0.672,0.037,0.3388,23,0.29
3.58,0.763,0.674,0.036,0.3283,23,0.28
3.64,0.763,0.677,0.037,0.3176,22,0.29
3.7,0.762,0.681,0.036,0.3052,22,0.28
3.76,0.762,0.684,0.037,0.2927,22,0.29
3.82,0.762,0.689,0.037,0.2804,22,0.29
3.88,0.761,0.692,0.037,0.2681,22,0.28
3.94,0.761,0.696,0.037,0.2561,22,0.28
4.0,0.761,0.7,0.036,0.2435,20,0.28
4.0600000000000005,0.76,0.705,0.036,0.231,19,0.29
4.12,0.76,0.708,0.036,0.2188,19,0.28
4.18,0.76,0.713,0.035,0.2062,18,0.28
4.24,0.76,0.719,0.036,0.1939,18,0.29
4.3,0.76,0.724,0.035,0.1823,18,0.28
4.359999999999999,0.76,0.729,0.034,0.1712,18,0.28
4.42,0.76,0.734,0.033,0.1609,18,0.28
4.48,0.759,0.738,0.031,0.1513,18,0.29
4.54,0.759,0.742,0.031,0.1423,18,0.28
4.6,0.759,0.743,0.029,0.1339,18,0.29
4.66,0.758,0.742,0.027,0.128,17,0.28
4.72,0.758,0.742,0.027,0.128,17,0.28
4.779999999999999,0.758,0.742,0.027,0.1281,17,0.28
4.84,0.758,0.741,0.027,0.1282,16,0.28
4.9,0.758,0.741,0.028,0.1282,15,0.29
4.96,0.758,0.741,0.027,0.1282,15,0.28
5.02,0.758,0.741,0.027,0.1282,13,0.29
5.08,0.758,0.741,0.027,0.1282,13,0.29
5.14,0.758,0.741,0.027,0.1282,13,0.29
5.2,0.757,0.74,0.027,0.1283,13,0.28
5.26,0.757,0.74,0.027,0.1283,13,0.28
5.32,0.757,0.74,0.027,0.1283,13,0.28
5.38,0.757,0.74,0.027,0.1283,13,0.28
5.44,0.757,0.74,0.027,0.1284,13,0.29
5.5,0.757,0.74,0.027,0.1284,13,0.29
5.56,0.757,0.74,0.027,0.1284,13,0.28
5.62,0.757,0.739,0.027,0.1285,13,0.28
5.68,0.756,0.739,0.027,0.1285,13,0.28
5.74,0.756,0.739,0.027,0.1286,13,0.29
5.8,0.756,0.739,0.027,0.1286,13,0.28
5.859999999999999,0.756,0.739,0.027,0.1286,13,0.28
