lambda,C-index Train,Mean C-index Test,C-index Test sd,IBS@3y,IBS_3y_std,IBS@3y CI95%,Non-zero coefs,Execution Time (min)
0.1,0.871,0.491,0.027,0.4745,0.059275758889432276,"[0.4377, 0.5112]",666,0.85
0.2,0.855,0.564,0.031,0.5457,0.04633009230729533,"[0.5170, 0.5744]",540,0.56
0.30000000000000004,0.843,0.609,0.033,0.5767,0.04347308247682832,"[0.5497, 0.6036]",466,0.55
0.4,0.832,0.629,0.029,0.6132,0.04766125099166564,"[0.5837, 0.6428]",406,0.47
0.5,0.824,0.629,0.031,0.6653,0.04898746492885019,"[0.6350, 0.6957]",332,0.42
0.6,0.819,0.627,0.032,0.6447,0.045739152972805716,"[0.6164, 0.6730]",296,0.42
0.7000000000000001,0.813,0.624,0.032,0.5946,0.043939648869967256,"[0.5674, 0.6218]",260,0.39
0.8,0.809,0.623,0.032,0.5945,0.04459631407169033,"[0.5668, 0.6221]",230,0.37
0.9,0.805,0.622,0.033,0.6032,0.04475445999916541,"[0.5754, 0.6309]",200,0.38
1.0,0.8,0.621,0.034,0.6117,0.04480158354427302,"[0.5839, 0.6394]",183,0.35
1.1,0.797,0.62,0.034,0.6168,0.044963847636109555,"[0.5889, 0.6447]",163,0.35
1.2000000000000002,0.794,0.62,0.034,0.6206,0.04542124490864447,"[0.5925, 0.6488]",151,0.34
1.3000000000000003,0.79,0.621,0.034,0.6206,0.04552952451578623,"[0.5924, 0.6488]",137,0.32
1.4000000000000001,0.788,0.62,0.034,0.6209,0.04567441265089866,"[0.5926, 0.6493]",125,0.31
1.5000000000000002,0.785,0.62,0.034,0.6173,0.045475473720859826,"[0.5891, 0.6455]",112,0.32
1.6,0.782,0.621,0.034,0.6098,0.04494085682294453,"[0.5819, 0.6376]",98,0.31
1.7000000000000002,0.779,0.622,0.034,0.6019,0.04429972074919319,"[0.5745, 0.6294]",90,0.3
1.8000000000000003,0.777,0.624,0.034,0.5935,0.043621965865763286,"[0.5665, 0.6206]",83,0.32
1.9000000000000001,0.775,0.625,0.035,0.5843,0.042887143379807695,"[0.5577, 0.6109]",72,0.3
2.0,0.773,0.627,0.035,0.5729,0.042088887665921504,"[0.5469, 0.5990]",62,0.3
2.1,0.772,0.629,0.035,0.5617,0.04130903437530612,"[0.5361, 0.5873]",56,0.3
2.2,0.771,0.631,0.035,0.5502,0.04062455112053039,"[0.5251, 0.5754]",49,0.3
2.3000000000000003,0.77,0.633,0.035,0.5369,0.03981912800646017,"[0.5122, 0.5616]",44,0.29
2.4000000000000004,0.769,0.636,0.035,0.5225,0.03900886033394348,"[0.4984, 0.5467]",42,0.31
